seite;speerName;produkt;quelle;kartenname
619;Gebrüder Pandel;"Herstellung von Axten und Beilen f. die Wehrmacht (DringlichkeitsProgramm Gewalt-Aktion, Kugellager-Schnellaktion, Ostprogramm Reichsverteidigung, Geilenberg-Programm, Jägerprogramm);";RWWA 22-349-6;Gebr. Pandel
619;Wilhelm Pandel;"Pioniergerät (Schanzzeug); Gesenkschmiedestücke f. Flakmunition, für Panzerfahrzeuge, für Abwurfmunition,";RWWA 22-28-12, RWWA 22-349-6;Wilhelm Pandel Werkzeugfabrik
619;Wilhelm Pass;Herstellung von Werkzeugen (Axte und Beile) für: Luftwaffe und Geilenberg-Programm, Marine, OT (Schanzwerkzeuge), Fliegerschäden, Wehrmacht;RWWA 22-349-6;Wilhelm Pass
619;Joh. Hermann Picard;"Hämmer u. Werkzeuge für Panzerbau und für Frontbedarf der Truppe; Werkzeuge für Wehrmacht-Hufbeschlag, für Marine, für Flugzeugbau";RWWA 22-349-6;Joh. Hermann Picard
619;Maschinenfabrik Paul Prause;Bearbeitungsvorrichtungen für Panther, Panzer, Kabelmaschinen, Geschoßfüllanlagen;RWWA 22-28-12;Paul Prause
619;Presta Metallwaren GmbH;"Metallgießereierzeugnisse mit Verarbeitung, u. a. Geräte für Sturmgeschütze; Metallgießereierzeugnisse mit Verarbeitung, u. a. Zünderteile (Rüstungs-Notprogramm)";RWWA 22-349-6;Presta-Metallwerk GmbH
619;Prinz & Kremer;Maschinenmesser für die Metall-, Papier- und Holzindustrie sowie für die Reichsbahn;RWWA 22-349-6;Prinz & Kremer
619;C. Gustav Putsch;"Zangen für Hufbeschlag und Heereswaffenamt; Zangen für InfanterieRüstungsprogramm; Zangen für Spezialzwecke der T; Zangen für allgemeinen Bedarf der Wehrmacht";RWWA 22-349-6;Knipex - C. Gustav Putsch
619;Wilhelm Quadt;geeichte Meß- und Wickelmaschinen für Luftwaffe;Zeugenbericht;
619;Wilhelm Quante;Sauerstofferzeugnisse und elektrotechnische Erzeugnisse bzw. Zulieferungen für Fernmeldetechnik (Funkgeräteschränke, Aufbaueinsätze);RWWA 22-349-6;Wilhelm Quante
619;Rahm & Kampmann;Flügelschäfte für 8 cm Wgr. 34;RWWA 22-28-10;Rahm & Kampmann
619;Rudolf Rautenbach GmbH;Aluminium-Motorblöcke für Flugzeuge (größter Hersteller im DR. Ringführer);BundesA-MA: RW 21-16/11;Rudolf Rautenbach GmbH [Zweigwerk Wuppertal-Barmen]
619;E. u. W. Reitz;Uniformen;;E. u. W. Reitz
620;Rittershaus & Blecher;"Bearbeitung von Flugzeug-Stahlgußteilen; Vorrichtungen; Bergbauerzeugnisse sowie -reparaturen;";RWWA 22-28-12, RWWA 22-349-6;Rittershaus & Blecher
620;H. &. G. Rüger;"Präzisionsteile (Dreh- u. Frästeile) für Flakwaffen (Rüstungs-Notprogramm); Breitgewebe für Fliegergeschädigte";RWWA 22-349-6;H. & G. Rüger
620;G. H. Sachsenröder;"Herstellung von technischem Vulkanfiber; von Kerasitdärmen für Lebensmittel Verpackung (50 % Wehrmacht, 50 % ziviler Bereich); von Kammgarnpergamentpapier für Walzenbelag von Kammgarnspinnereien (damals einziger Hersteller im DR); Entwicklungsarbeiten im Auftrag des Reichsluftfahrt ministerium zur Herstellung von wasserfester Zellulose";RWWA 22-349-6;G. H. Sachsenröder
620;Schaeffer-Homberg GmbH;"Gasschutzgeräte; Stanz- u. Ziehteile für Zünder, Handgranaten, Waffen; Flak- und Bordmunition Flugzeuge- und Luftwaffen-Ausrüstung; Kraftfahrzeuge; Band-Geräte [Brandt-Geräte?) Heeresausrüstungen; Lieferungen für Kriegswirtschaft und Export";"RWWA 22-28-12; RWWA 22-349-6";Schaeffer-Homberg GmbH
620;Gebr. Schlieper;"Jäger-Programm; Seerose-Programm";RWWA 22-28-12;
620;Schlieper & Laag;Gasschutzgeräte;RWWA 22-28-12;Schlieper & Laag GmbH
620;Schmahl & Schulz;R - Mi[nen] 43;"RWWA 22-28-10; RWWA 22-28-12";Schmahl & Schulz
620;Reinhart Schmidt GmbH;"Umschläge, Feldpostbriefe u. Beutel für die Wehrmacht u. Rüstungsindustrie; als direkte Wehrmachtsaufträge; für den zivilen Sektor in unmittelbarem Verkehr mit der Wehrmacht";RWWA 22-349-6;
620;Schmitt & Co., Maschinenfabrik Barmenia;"Flugzeugmotorenteile (Jägerprogramm); 7,3 cm R-Sprenggranaten für Flakmunition; Instandsetzung v. Werkzeugmaschinen";RWWA 22-349-6;
620;Max Schmitz, Präzisionsdreherei;"Unterlieferant von Albawerke Lübbertzmeier; arbeitet für die Reichsverteidigung (Flugzeugteile für die Me 210) und innerhalb des Mineralölprogramms";HStAD: Staats A Wuppertal, Rep. 92/182;
